Snapshotdt,ApplicationID,UPB,DPD,BKRepo_Flag,NextPaymentDate,RemainingTerm,MaturityDate,NumberOfExtensions,NumberOfPayments,FundingDate,OriginalRate,CurrentRate,OriginalPayment,CurrentPayment,PTICore,DTICore,Make,Model,ModelYr,BookValue,LTVCore,OriginalAmtFinanced,OriginalTerm,BookNewUsed,BookMileage,HighFico,BookTier,FirstPaymentDate,LastPmtDate,lastExtensionDate,ChargeoffDate,MOB,DPDBucket,MOB_Lag1,UPB_Lag1,DPD_Lag1,DPDBucket_Lag1,LoanStatus,LoanStatus2,LoanStatus2_Lag1,Vintage_M,Vintage_Q,PrepayBal,DefaultBal,DQBal
2020-01-31,10007214,13301.29,0,None,2020-03-03,72,2026-02-03,0,0,2020-01-22,0.2114,0.2114,330.15,330.15,0.1019,0.4885,CHEVROLE,TRAVERSE    ,12,9450,1.40754391534392,13301.29,72,Used,89573,580,Tier 6,2020-03-03,43848,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
2020-01-31,10007757,30382.77,0,None,2020-03-01,72,2026-02-01,0,0,2020-01-27,0.2316,0.2316,792.42,792.42,0.1684,0.271,NISSAN,ALTIMA      ,20,23871,1.27278999622974,30382.77,72,New,3,572,Tier 6,2020-03-01,43846,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
2020-01-31,10008315,21042.38,0,None,2020-02-12,72,2026-01-12,0,0,2020-01-27,0.1426,0.1426,436.53,436.53,0.1727,0.3624,KIA,SOUL        ,20,19663,1.07015104511011,21042.38,72,New,12,578,Tier 5,2020-02-12,43843,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
2020-01-31,10008620,15604.8,0,None,2020-03-03,72,2026-02-03,0,0,2020-01-23,0.1731,0.1731,352.37,352.37,0.1448,0.5612,MITSUBIS,OUTLANDER SP,16,14075,1.1086891651865,15604.8,72,Used,39997,546,Tier 5,2020-03-03,43848,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
2020-01-31,10008774,21498.81,0,None,2020-03-03,72,2026-02-03,0,0,2020-01-23,0.2412,0.2412,572.81,572.81,0.1891,0.4076,NISSAN,SENTRA      ,19,21317,1.0085288736689,21498.81,72,New,8,583,Tier 7,2020-03-03,43848,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
2020-01-31,10008911,19959.89,0,None,2020-03-03,72,2026-02-03,0,0,2020-01-21,0.1504,0.1504,425.13,425.13,0.0677,0.5766,DODGE TR,GRAND CARAVA,16,13000,1.53537615384615,19959.89,72,Used,46744,625,Tier 0,2020-03-03,43848,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
2020-01-31,10009130,14236,0,None,2020-03-14,72,2026-02-14,0,0,2020-01-27,0.1274,0.1274,285.35,285.35,0.0605,0.3542,HYUNDAI,ACCENT      ,17,9833,1.44777789077596,14236,72,Used,48151,601,Tier 4,2020-03-14,43859,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
2020-01-31,10010543,18063.75,0,None,2020-03-03,72,2026-02-03,0,0,2020-01-22,0.125,0.125,359.73,359.73,0.045,0.2155,JEEP,GRAND CHEROK,14,16294,1.1086136000982,18063.75,72,Used,76818,629,Tier 1,2020-03-03,43848,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
2020-01-31,10011549,28733,0,None,2020-03-03,72,2026-02-03,0,0,2020-01-28,0.1949,0.1949,685.29,685.29,0.137,0.4326,FORD TRU,EXPLORER    ,17,22400,1.28272321428571,28733,72,Used,64085,584,Tier 5,2020-03-03,43848,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
2020-01-31,10011798,17732.95,0,None,2020-03-03,72,2026-02-03,0,0,2020-01-23,0.233,0.233,463.5,463.5,0.1611,0.4348,HYUNDAI,ELANTRA     ,18,12424,1.42731406954282,17732.95,72,Used,34423,592,Tier 3,2020-03-03,43848,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
